LPG100/LPG68;R290 (Propan);in bar;in ℃;in bar;in ℃;in ℃;in g/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG100;R290;4,71028;10,2428;21,268;28,5408;84,6276;15,8592;1885,59;3608,9;5,70122
LPG100;R290;5,48294;14,5305;21,2279;29,0013;81,787;18,7327;1918,58;3608,9;5,57295
LPG100;R290;6,35099;20,793;21,2144;28,8952;80,3434;21,8274;1940,36;3608,9;5,42977
LPG100;R290;7,30437;24,8096;21,2177;29,1438;77,6093;25,6164;1949,63;3608,9;5,08618
LPG100;R290;8,38725;29,7166;21,2682;29,3616;76,3878;29,6838;1936,83;3608,9;4,5851
LPG100;R290;9,65207;33,771;21,3271;29,7366;74,6377;34,8037;1892,12;3608,9;4,42698
;;;;;;;;;;
LPG100;R290;4,66777;19,6299;21,2313;30,0652;92,8788;15,1235;1883,39;3608,9;6,0386
LPG100;R290;6,37258;29,3931;21,1373;30,5538;88,3464;20,8951;1953,31;3608,9;5,93116
LPG100;R290;8,34816;38,5345;21,1216;30,5605;84,3378;27,7096;1934,51;3608,9;5,77239
;;;;;;;;;;
LPG100;R290;4,68649;28,9224;21,2616;31,3145;100,626;14,5735;1888,25;3608,9;5,8399
LPG100;R290;6,41268;40,878;21,0873;31,3159;97,2345;20,0216;1951,9;3608,9;5,98888
LPG100;R290;8,35742;50,9772;21,2292;31,659;94,7969;26,4246;1937,84;3608,9;6,03032
;;;;;;;;;;
LPG100;R290;4,78441;10,4218;21,198;29,7908;83,9524;19,1917;2215,56;4210;5,65735
LPG100;R290;5,46804;15,7571;21,2045;30,125;84,3738;21,7216;2263,23;4210;5,77733
LPG100;R290;6,32537;19,7479;21,1913;29,9677;81,3891;25,3769;2297,06;4210;5,53566
LPG100;R290;7,25334;24,2205;21,2923;29,9503;79,3115;29,4622;2314,68;4210;5,17333
LPG100;R290;8,33703;29,2683;21,129;29,1895;77,013;34,4126;2277,86;4210;4,9544
LPG100;R290;9,40162;34,6529;21,1443;28,4368;75,0597;39,174;2224,91;4210;4,529
;;;;;;;;;;
LPG68;R290;4,77135;9,67378;10,6935;21,6035;51,1384;17,4099;1122,57;3608,9;16,1095
