LPG100/LPG68;R290 (Propan);in Pa;in ℃;in Pa;in ℃;in ℃;in ℃;in kg/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;T7_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG100;R290;4,71028;10,2428;21,268;28,5408;84,6276;77,4386;15,8592;1885,59;3608,9;5,70122
LPG100;R290;5,48294;14,5305;21,2279;29,0013;81,787;75,3122;18,7327;1918,58;3608,9;5,57295
LPG100;R290;6,35099;20,793;21,2144;28,8952;80,3434;74,2362;21,8274;1940,36;3608,9;5,42977
LPG100;R290;7,30437;24,8096;21,2177;29,1438;77,6093;72,2261;25,6164;1949,63;3608,9;5,08618
LPG100;R290;8,38725;29,7166;21,2682;29,3616;76,3878;70,256;29,6838;1936,83;3608,9;4,5851
LPG100;R290;9,65207;33,771;21,3271;29,7366;74,6377;69,7616;34,8037;1892,12;3608,9;4,42698
;;;;;;;;;;;
LPG100;R290;4,66777;19,6299;21,2313;30,0652;92,8788;84,4122;15,1235;1883,39;3608,9;6,0386
LPG100;R290;6,37258;29,3931;21,1373;30,5538;88,3464;80,719;20,8951;1953,31;3608,9;5,93116
LPG100;R290;8,34816;38,5345;21,1216;30,5605;84,3378;77,3597;27,7096;1934,51;3608,9;5,77239
;;;;;;;;;;;
LPG100;R290;4,68649;28,9224;21,2616;31,3145;100,626;91,6682;14,5735;1888,25;3608,9;5,8399
LPG100;R290;6,41268;40,878;21,0873;31,3159;97,2345;88,611;20,0216;1951,9;3608,9;5,98888
LPG100;R290;8,35742;50,9772;21,2292;31,659;94,7969;86,3425;26,4246;1937,84;3608,9;6,03032
;;;;;;;;;;;
LPG100;R290;4,76959;10,8226;10,7592;21,9302;52,7122;47,763;16,6783;1171,49;3608,9;
LPG100;R290;5,5202;14,9478;10,7656;22,3649;51,212;46,9559;19,4483;1117,24;3608,9;
LPG100;R290;6,36469;19,9084;10,7816;22,6036;48,9181;44,9898;22,5438;1035,76;3608,9;
LPG100;R290;7,28593;25,4255;13,7131;25,0685;57,7566;53,2875;25,6962;1263,22;3608,9;
LPG100;R290;8,32058;30,1335;13,7284;25,0565;55,9763;51,972;29,6475;1160,83;3608,9;
LPG100;R290;9,44479;34,9748;13,7367;25,1102;54,7194;51,1434;33,8647;1026,29;3608,9;
LPG100;R290;7,27;26,1087;17,2144;27,7379;68,7849;63,3767;25,2562;1611,35;3608,9;
LPG100;R290;6,34628;29,7049;17,1982;26,8063;77,284;70,2356;21,1256;1644,22;3608,9;
LPG100;R290;8,31678;40,8427;17,2186;27,3502;76,6938;70,2524;27,8063;1555,8;3608,9;
LPG100;R290;6,34588;41,2333;17,1857;30,1813;88,4392;80,8714;20,2014;1627,08;3608,9;
LPG100;R290;8,37903;49,9756;17,2138;28,0563;83,2085;75,1839;26,9469;1541,36;3608,9;
;;;;;;;;;;;
LPG100;R290;4,78441;10,4218;21,198;29,7908;83,9524;76,383;19,1917;2215,56;4209,79;5,65735
LPG100;R290;5,46804;15,7571;21,2045;30,125;84,3738;77,6524;21,7216;2263,23;4209,79;5,77733
LPG100;R290;6,32537;19,7479;21,1913;29,9677;81,3891;75,3378;25,3769;2297,06;4209,79;5,53566
