Einheiten;1/s;LPG68/LPG100;Propan/R290;in K;in ℃;in ℃;in bar;in bar;in ℃;in bar;in bar;in ℃;in ℃;in ℃;in ℃;in W;in g/s;in 1/min
Bezeichnung;Drehzahl;Ölbezeichnung;Kältemittel;T1_SH;T_evap;T_cond;p1_SP;p2_SP_mean;T1_SP_mean;P1_mean;P2_mean;T1_mean;T2_mean;T7_mean;Tamb_mean;Pel_mean;suction_mf_mean;N
T2s30_10SH;60;LPG68;Propan;10;0;30;4,7295;10,7222;10,0347;4,77135;10,6935;9,67378;51,1384;46,3812;21,6035;1122,57;17,4099;3608,9
T2s30_10SH;60;LPG68;Propan;10;5;30;5,51075;10,7222;15,0347;5,48988;10,719;15,5366;49,2062;44,6614;21,7056;1069,86;19,4407;3608,9
T2s30_10SH;60;LPG68;Propan;10;10;30;6,3545;10,7222;20,0695;6,30289;10,679;19,686;47,6153;43,676;21,9615;992,239;22,4671;3608,9
T2s40_10SH;60;LPG68;Propan;10;0;40;4,722;13,7222;10,0347;4,73131;13,69;10,5796;62,327;56,6952;23,7957;1371,86;16,3785;3608,9
T2s40_10SH;60;LPG68;Propan;10;5;40;5,50325;13,7222;15,0347;5,55022;13,9246;14,8254;59,6836;54,3294;17,8992;1373,44;19,586;3608,9
T2s40_10SH;60;LPG68;Propan;10;10;40;6,347;13,7222;20,0695;6,30283;13,6894;19,8056;57,4717;52,1025;20,1546;1316,15;22,5857;3608,9
T2s40_10SH;60;LPG68;Propan;10;15;40;7,31575;13,7222;25,0695;7,26939;13,7288;24,6571;57,0956;52,372;20,5833;1250,77;25,9376;3608,9
T2s40_10SH;60;LPG68;Propan;10;20;40;8,319;13,7222;30,0695;8,39389;13,6998;29,9919;55,4081;50,9747;20,8887;1139,59;30,0183;3608,9
T2s40_10SH;60;LPG68;Propan;10;25;40;9,5065;13,7222;35,139;9,38441;13,7072;35,3264;55,5273;51,2892;21,0484;1027,27;33,6089;3608,9
T2S50_10SH;60;LPG68;Propan;10;0;50;4,72075;17,1945;10,0347;4,75311;17,1935;9,9048;72,8888;66,769;26,2379;1625,09;16,4602;3608,9
T2S50_10SH;60;LPG68;Propan;10;5;50;5,502;17,1945;15,0347;5,53394;17,2024;14,5325;70,6471;65,3187;27,3065;1641,16;19,2189;3608,9
T2S50_10SH;60;LPG68;Propan;10;10;50;6,34575;17,1945;20,0695;6,39275;17,1276;20,6983;69,1915;63,4953;26,7675;1618,66;22,1482;3608,9
T2S50_10SH;60;LPG68;Propan;10;15;50;7,3145;17,1945;25,0695;7,28526;17,1941;24,6838;66,8215;62,1338;26,504;1587,98;25,5488;3608,9
T2S50_10SH;60;LPG68;Propan;10;20;50;8,3165;17,1945;30,0695;8,37978;17,2361;30,7662;66,4899;62,0329;26,8575;1524,13;29,5286;3608,9
T2S50_10SH;60;LPG68;Propan;10;25;50;9,504;17,1945;35,139;9,42186;17,1474;36,6651;67,4533;62,6252;27,0901;1446,86;33,173;3608,9
T2s60_10SH;60;LPG68;Propan;10;0;60;4,7295;21,1945;10,0347;4,75998;21,2214;10,0578;83,4518;77,3054;24,754;1883,77;16,0946;3608,9
T2s60_10SH;60;LPG68;Propan;10;5;60;5,51075;21,1945;15,0354;5,47093;21,2197;14,6078;81,4971;75,8775;26,4879;1922,46;18,5994;3608,9
T2s60_10SH;60;LPG68;Propan;10;10;60;6,3545;21,1945;20,0695;6,33767;21,2408;20,1467;80,3724;74,7799;26,8024;1944,61;21,6908;3608,9
T2s60_10SH;60;LPG68;Propan;10;15;60;7,32325;21,1945;25,0695;7,28752;21,1725;24,8711;77,683;73,2058;27,1922;1943,15;25,1205;3608,9
T2s60_10SH;60;LPG68;Propan;10;20;60;8,334;21,1945;30,0695;8,32119;21,2386;29,9379;76,7835;72,1696;27,3602;1921,37;28,9463;3608,9
T2s60_10SH;60;LPG68;Propan;10;25;60;9,5215;21,1945;35,139;9,47442;21,1756;34,7889;76,1203;71,5515;28,2351;1878,16;33,2654;3608,9
T2s50_20SH;60;LPG68;Propan;20;0;50;4,736;17,1945;20,0695;4,73894;17,1369;20,6698;81,8407;74,4012;27,8441;1628,12;15,6205;3608,9
T2s50_20SH;60;LPG68;Propan;20;10;50;6,361;17,1945;30,0695;6,36114;17,1379;30,159;78,1035;71,4997;28,7935;1636,07;21,0768;3608,9
T2s50_20SH;60;LPG68;Propan;20;20;50;8,347;17,1945;40,139;8,34649;17,1632;40,0268;74,9246;68,7317;28,9543;1540,55;28,0766;3608,9
T2s60_20SH;60;LPG68;Propan;20;0;60;4,7295;21,1945;20,0695;4,70768;21,151;19,0416;92,403;84,7057;30,711;1874,54;15,2689;3608,9
T2s60_20SH;60;LPG68;Propan;20;10;60;6,3545;21,1945;30,0695;6,37173;21,2133;31,8268;90,3913;83,1867;30,9247;1944,94;20,6885;3608,9
T2s60_20SH;60;LPG68;Propan;20;20;60;8,334;21,1945;40,139;8,46994;21,1586;40,5418;86,2709;79,9317;30,7809;1925,53;28,0356;3608,9
T2s50_30SH;60;LPG68;Propan;30;0;50;4,736;17,1945;30,0695;4,76698;17,2159;29,7937;89,7342;81,8013;29,7151;1621,6;15,0627;3608,9
T2s50_30SH;60;LPG68;Propan;30;10;50;6,361;17,1945;40,139;6,37078;17,1567;39,4937;85,6438;77,7772;29,5806;1628,71;20,3035;3608,9
T2s50_30SH;60;LPG68;Propan;30;20;50;8,347;17,1945;50,139;8,44081;17,1766;50,6324;83,7169;75,9175;29,8132;1540,22;27,0184;3608,9
T2s60_30SH;60;LPG68;Propan;30;0;60;4,7295;21,1945;30,0695;4,72849;21,2327;30,1594;100,675;91,7678;32,1022;1870,67;14,6311;3608,9
T2s60_30SH;60;LPG68;Propan;30;10;60;6,3545;21,1945;40,139;6,46011;21,1451;39,4013;95,8945;87,3214;31,6505;1943,91;20,4809;3608,9
T2s60_30SH;60;LPG68;Propan;30;20;60;8,334;21,1945;50,139;8,43544;21,1507;50,6304;93,6914;85,5294;31,757;1918,37;26,7902;3608,9
;;;;;;;;;;;;;;;;;;
T2s30_10SH;70;LPG68;Propan;10;0;30;4,7295;10,7222;10,0347;4,76662;10,7354;9,62169;53,0269;47,8138;23,5323;1342;19,7802;4209,79
T2s30_10SH;70;LPG68;Propan;10;5;30;5,51075;10,7222;15,0347;5,50719;10,7134;14,6792;50,5768;46,1251;22,7997;1292,38;22,8425;4209,79
