alpha_loss,W_dot_loss_ref
0.1,10.0
0.1,16.47548972
0.1,27.14417617
0.1,44.72135955
0.1,73.68062997
0.1,121.3924462
0.1,200.0
0.15,10.0
0.15,16.47548972
0.15,27.14417617
0.15,44.72135955
0.15,73.68062997
0.15,121.3924462
0.15,200.0
0.2,10.0
0.2,16.47548972
0.2,27.14417617
0.2,44.72135955
0.2,73.68062997
0.2,121.3924462
0.2,200.0
0.25,10.0
0.25,16.47548972
0.25,27.14417617
0.25,44.72135955
0.25,73.68062997
0.25,121.3924462
0.25,200.0
0.3,10.0
0.3,16.47548972
0.3,27.14417617
0.3,44.72135955
0.3,73.68062997
0.3,121.3924462
0.3,200.0
0.35,10.0
0.35,16.47548972
0.35,27.14417617
0.35,44.72135955
0.35,73.68062997
0.35,121.3924462
0.35,200.0
0.4,10.0
0.4,16.47548972
0.4,27.14417617
0.4,44.72135955
0.4,73.68062997
0.4,121.3924462
0.4,200.0
