gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.22027680550685919,8.65431101850853,15.11730556398853,0.6057133172740704,2.548245349877454e-08,2.2645199046736935e-05,2.983535167624572e-05,0.17435541476561844,105.09867240691044
20,0.18588617615598954,48.299323982354906,5.245827169933944,2.6240143726799734,1.2762891151487705e-08,0.00040368753832068454,2.983535167624572e-05,0.19969191652458995,115.5239969554313
30,0.18538201611382307,48.4214167158922,4.87527694984056,0.4633907572837449,1.262504205207714e-08,0.00012672827809939686,2.988344237228711e-05,0.19833167680495228,105.09867240691044
40,0.18538201611382307,48.4214167158922,4.87527694984056,0.4633907572837449,1.262504205207714e-08,0.00012672827809939686,2.988344237228711e-05,0.19833167680495228,105.09867240691044
50,0.18148100178170823,40.19979188675754,5.245827169933944,1.1798209349889628,7.535265170334371e-09,6.067951340650862e-05,2.991538213986332e-05,0.19969191652458995,91.87300564819242
60,0.18148100178170823,40.19979188675754,5.245827169933944,1.1798209349889628,7.535265170334371e-09,6.067951340650862e-05,2.991538213986332e-05,0.19969191652458995,91.87300564819242
70,0.17486157083428985,43.05957386828716,5.245827169933944,2.6240143726799734,7.58718407157612e-09,0.00040368753832068454,2.991538213986332e-05,0.19833167680495228,102.90801473543281
80,0.17202904128545818,43.05957386828716,5.245827169933944,1.1798209349889628,7.535265170334371e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
90,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
100,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
110,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
120,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
130,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
140,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
150,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
160,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
170,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
180,0.16746986544379583,43.100785993572,5.245827169933944,1.3011315010861046,7.58718407157612e-09,6.067951340650862e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
190,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
200,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
210,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
220,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
230,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
240,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
250,0.16665093952060347,43.100785993572,5.245827169933944,1.1243804632129288,7.58718407157612e-09,7.031904839961282e-05,2.991538213986332e-05,0.19833167680495228,97.85964761744424
