gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot,m_dot_oil_ref,Ua_suc_oil_ref
10,0.11691028976073857,30.80397579828685,11.369996599565916,1.651536309829091,2.694977087899841e-07,9.098441831318865e-06,2.8491640610655203e-05,0.2789431724392347,50.45995681845807,807.2450827764094,0.00040255060862121175,25.028393519854266
20,0.11691028976073857,30.80397579828685,11.369996599565916,1.651536309829091,2.694977087899841e-07,9.098441831318865e-06,2.8491640610655203e-05,0.2789431724392347,50.45995681845807,807.2450827764094,0.00040255060862121175,25.028393519854266
30,0.1155199873095741,30.80397579828685,11.369996599565916,1.440242769412407,2.694977087899841e-07,9.098441831318865e-06,2.8491640610655203e-05,0.2776008106991571,50.45995681845807,857.183351753934,0.00020099354980146735,9.408895615256975
40,0.10954414193736625,30.80397579828685,11.369996599565916,1.689728151542647,2.694977087899841e-07,9.098441831318865e-06,2.821940382108485e-05,0.2776008106991571,51.864726255095164,878.3887568442351,0.00027558030206437524,16.04566623413161
50,0.10709715400190048,30.80397579828685,11.369996599565916,1.651536309829091,2.1438792170380857e-07,9.098441831318865e-06,2.821940382108485e-05,0.2776008106991571,56.80972100563964,878.3887568442351,0.00011471238746756604,16.251968674307484
60,0.10449929460952884,30.80397579828685,11.369996599565916,1.440242769412407,2.1438792170380857e-07,4.99379563505386e-05,2.821940382108485e-05,0.2789431724392347,50.45995681845807,878.3887568442351,0.00011471238746756604,16.251968674307484
70,0.10449929460952884,30.80397579828685,11.369996599565916,1.440242769412407,2.1438792170380857e-07,4.99379563505386e-05,2.821940382108485e-05,0.2789431724392347,50.45995681845807,878.3887568442351,0.00011471238746756604,16.251968674307484
80,0.10415548858383657,30.80397579828685,11.369996599565916,1.440242769412407,2.1438792170380857e-07,7.578653754904057e-06,2.821940382108485e-05,0.2776008106991571,52.788700315001286,878.3887568442351,0.00011471238746756604,17.958122364212983
90,0.10308893017307874,30.80397579828685,11.369996599565916,2.5205940251346615,2.1438792170380857e-07,9.950334828195835e-05,2.821940382108485e-05,0.2789431724392347,50.45995681845807,878.3887568442351,0.00011471238746756604,16.251968674307484
100,0.10308893017307874,30.80397579828685,11.369996599565916,2.5205940251346615,2.1438792170380857e-07,9.950334828195835e-05,2.821940382108485e-05,0.2789431724392347,50.45995681845807,878.3887568442351,0.00011471238746756604,16.251968674307484
