split_row_index,Bezeichnung_canonical,Bezeichnung_all,Kältemittel_all,Drehzahl_set,T1_SH_set,T_evap_set_C,T_cond_set_C,n_rows_total,n_rows_LPG68,n_rows_LPG100,has_LPG68,pair_status,usable_for_shared_split,has_LPG100,op_id,split_role,split_note
0,T2s30_10SH,T2s30_10SH,Propan,60.0,10.0,0.0,30.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te0_Tc30,train,
1,T2s30_10SH,T2s30_10SH,Propan,60.0,10.0,5.0,30.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te5_Tc30,train,
2,T2s30_10SH,T2s30_10SH,Propan,60.0,10.0,10.0,30.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te10_Tc30,validation,
3,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,0.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te0_Tc40,train,
4,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,5.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te5_Tc40,validation,
5,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,10.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te10_Tc40,validation,
6,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,15.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te15_Tc40,train,
7,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,20.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te20_Tc40,train,
8,T2s40_10SH,T2s40_10SH,Propan,60.0,10.0,25.0,40.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te25_Tc40,validation,
9,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te0_Tc50,train,
10,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,5.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te5_Tc50,train,
11,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,10.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te10_Tc50,train,
12,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,15.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te15_Tc50,train,
13,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,20.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te20_Tc50,train,
14,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,60.0,10.0,25.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te25_Tc50,validation,
15,T2s50_20SH,T2s50_20SH,Propan,60.0,20.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te0_Tc50,train,
16,T2s50_20SH,T2s50_20SH,Propan,60.0,20.0,10.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te10_Tc50,train,
17,T2s50_20SH,T2s50_20SH,Propan,60.0,20.0,20.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te20_Tc50,train,
18,T2s50_30SH,T2s50_30SH,Propan,60.0,30.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te0_Tc50,train,
19,T2s50_30SH,T2s50_30SH,Propan,60.0,30.0,10.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te10_Tc50,train,
20,T2s50_30SH,T2s50_30SH,Propan,60.0,30.0,20.0,50.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te20_Tc50,validation,
21,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te0_Tc60,train,
22,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,5.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te5_Tc60,train,
23,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te10_Tc60,validation,
24,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,15.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te15_Tc60,train,
25,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,20.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te20_Tc60,validation,
26,T2s60_10SH,T2s60_10SH,Propan,60.0,10.0,25.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH10_Te25_Tc60,validation,
27,T2s60_20SH,T2s60_20SH,Propan,60.0,20.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te0_Tc60,train,
